Era,Validator,EraPoints,TotalStake,OwnStake,NominatedStake,NomCount,PageCount,CommissionRate,Blocked,CommissionEarned,OwnReward,TotalReward
3,5F94b3JvoD2pq9m3bgyn3M2tcUA7WW1M3uck4yBYPNZUZmce,10500,99999.99999999996049017,99999.99999999996049017,0E-17,0,0,0.0,False,0E-25,33302.2854522909421199404252023,33302.2854522909421199404252023
3,5G961Rr3p9CdaLfdRUDb5XexmSTtgDECx4ErEZPn2zPPeaH7,10740,99999.99999999996049017,99999.99999999996049017,0E-17,0,0,0.0,False,0E-25,34063.4805483433047948979318376,34063.4805483433047948979318376
3,5H1M3avPbU5gGUBQJBqqzBJecy2kVPRK9nGbbgjho5Y4BA8Y,10800,99999.99999999996049017,99999.99999999996049017,0E-17,0,0,0.0,False,0E-25,34253.7793223564002162037331743,34253.7793223564002162037331743
4,5CXVnAHFCt4m3LcwLzjcT3mdiQjnxJ5PA2ytZ8aD91DxKMic,10520,99999.999999999792249131,99999.999999999792249131,0E-18,0,0,0.0,False,0E-25,33369.3686255041645068470785813,33369.3686255041645068470785813
4,5D814dkZGy3ra2xtX7tAtXenhTvBH1SZuVEs1y3VyvvZW6ko,11880,99999.999999999792249131,99999.999999999792249131,0E-18,0,0,0.0,False,0E-25,37683.2793983830264682542866280,37683.2793983830264682542866280
4,5DFAJjy18Rb12MCPr9NrVqnEJiCkMAnoHgE2Gixr5KDsoLGP,11420,99999.999999999792249131,99999.999999999792249131,0E-18,0,0,0.0,False,0E-25,36224.1625193210571098480525672,36224.1625193210571098480525672
4,5DhHJyY2PojTiZ1Qm4F8RuzKEHYYWsEJDoXDakPcVMqPkfsE,10520,99999.999999999792249131,99999.999999999792249131,0E-18,0,0,0.0,False,0E-25,33369.3686255041645068470785813,33369.3686255041645068470785813
4,5E9WFrdJgeP46qPEr6VL6y9agscxm4Gf78vqiuQnAftekN3R,10740,99999.999999999792249131,99999.999999999792249131,0E-18,0,0,0.0,False,0E-25,34067.2071328816261291444485438,34067.2071328816261291444485438
4,5F94b3JvoD2pq9m3bgyn3M2tcUA7WW1M3uck4yBYPNZUZmce,10900,99999.999999999792249131,99999.999999999792249131,0E-18,0,0,0.0,False,0E-25,34574.7260473379646198836912761,34574.7260473379646198836912761
4,5G961Rr3p9CdaLfdRUDb5XexmSTtgDECx4ErEZPn2zPPeaH7,11260,99999.999999999792249131,99999.999999999792249131,0E-18,0,0,0.0,False,0E-25,35716.6436048647262240469874237,35716.6436048647262240469874237
4,5H1M3avPbU5gGUBQJBqqzBJecy2kVPRK9nGbbgjho5Y4BA8Y,9140,99999.999999999792249131,99999.999999999792249131,0E-18,0,0,0.0,False,0E-25,28992.0179883182564316283763987,28992.0179883182564316283763987
5,5CXVnAHFCt4m3LcwLzjcT3mdiQjnxJ5PA2ytZ8aD91DxKMic,11100,99999.99999999971398476,99999.99999999971398476,0E-17,0,0,0.0,False,0E-25,35212.9766100903515446420481521,35212.9766100903515446420481521
5,5D814dkZGy3ra2xtX7tAtXenhTvBH1SZuVEs1y3VyvvZW6ko,11280,99999.99999999971398476,99999.99999999971398476,0E-17,0,0,0.0,False,0E-25,35783.9978524161387679748425940,35783.9978524161387679748425940
5,5DFAJjy18Rb12MCPr9NrVqnEJiCkMAnoHgE2Gixr5KDsoLGP,10300,99999.99999999971398476,99999.99999999971398476,0E-17,0,0,0.0,False,0E-25,32675.1044219757285643365634065,32675.1044219757285643365634065
5,5DhHJyY2PojTiZ1Qm4F8RuzKEHYYWsEJDoXDakPcVMqPkfsE,10100,99999.99999999971398476,99999.99999999971398476,0E-17,0,0,0.0,False,0E-25,32040.6363749470756714240047612,32040.6363749470756714240047612
5,5E9WFrdJgeP46qPEr6VL6y9agscxm4Gf78vqiuQnAftekN3R,11520,99999.99999999971398476,99999.99999999971398476,0E-17,0,0,0.0,False,0E-25,36545.3595088505268029320130341,36545.3595088505268029320130341
5,5F94b3JvoD2pq9m3bgyn3M2tcUA7WW1M3uck4yBYPNZUZmce,10740,99999.99999999971398476,99999.99999999971398476,0E-17,0,0,0.0,False,0E-25,34070.9341254387694922062924919,34070.9341254387694922062924919
5,5G961Rr3p9CdaLfdRUDb5XexmSTtgDECx4ErEZPn2zPPeaH7,10820,99999.99999999971398476,99999.99999999971398476,0E-17,0,0,0.0,False,0E-25,34324.7213442502321705253493052,34324.7213442502321705253493052
5,5H1M3avPbU5gGUBQJBqqzBJecy2kVPRK9nGbbgjho5Y4BA8Y,10520,99999.99999999971398476,99999.99999999971398476,0E-17,0,0,0.0,False,0E-25,33373.0192737072509297139696432,33373.0192737072509297139696432
6,5ESFX6vCcR4vRieHdPYEUi3MKDyNs9FXhhHWgYhJErCoeas7,10680,100000.999999999693307702,100000.999999999693307702,0E-18,0,0,0.05,False,1693.82283637609774154326655968,32182.6338911458552088009520532,33876.4567275219529503442186129
6,5CXVnAHFCt4m3LcwLzjcT3mdiQjnxJ5PA2ytZ8aD91DxKMic,10960,99999.99999999968973124,99999.99999999968973124,0E-17,0,0,0.0,False,0E-25,34764.6035331124154810579178945,34764.6035331124154810579178945
